index,price,hood_district,sqft,beds,bath,laundry,pets,housing_type,parking
1971,6100,7.0,2000.0,3.0,2.0,1,0,0,0
3060,4800,9.0,2106.0,3.0,2.5,2,3,0,3
2488,3500,8.0,1000.0,2.0,1.0,1,0,0,0
2857,1950,2.0,600.0,1.0,1.0,1,0,1,0
1449,5915,8.0,1783.0,3.0,3.0,2,3,0,0
1944,1699,1.0,525.0,1.0,1.0,0,0,1,0
214,3995,5.0,1000.0,2.0,2.0,2,1,0,3
1439,3943,10.0,1452.0,3.0,2.5,0,0,0,0
562,2905,10.0,981.0,2.0,2.0,2,3,0,3
2509,3899,9.0,1102.0,2.0,2.0,2,3,0,0
2461,3000,1.0,800.0,1.0,1.0,0,1,0,1
2213,2800,7.0,950.0,2.0,1.0,1,0,0,0
1216,2992,9.0,837.0,1.0,1.0,2,3,0,3
2175,4991,9.0,912.0,2.0,2.0,0,0,0,0
2429,2750,9.0,627.0,1.0,1.0,2,1,0,0
1400,2850,7.0,800.0,1.0,1.0,1,0,0,0
1354,2100,7.0,550.0,0.0,1.0,0,0,0,0
1678,3595,7.0,1000.0,2.0,1.0,1,0,0,0
2634,2685,8.0,596.0,1.0,1.0,2,3,0,3
1174,1775,2.0,320.0,0.0,1.0,1,0,0,0
173,1795,8.0,450.0,0.0,1.0,1,3,0,0
823,1800,8.0,500.0,0.0,1.0,1,0,0,0
1525,3500,9.0,700.0,2.0,2.0,1,3,0,0
2587,1700,9.0,307.0,1.0,1.0,1,0,0,0
1787,2395,5.0,700.0,1.0,1.0,0,0,0,0
2652,2565,9.0,303.0,0.0,1.0,1,0,0,0
2838,5100,8.0,1250.0,3.0,1.0,0,0,0,0
93,4995,6.0,1236.0,3.0,2.0,2,2,0,3
1200,3150,9.0,800.0,1.0,1.0,1,0,0,3
3081,3050,9.0,720.0,2.0,1.0,2,1,3,0
1041,3000,4.0,744.0,1.0,1.0,1,3,0,2
182,3995,9.0,933.0,2.0,2.0,2,3,0,0
2423,2700,9.0,900.0,3.0,1.0,0,1,0,0
2942,4500,9.0,1250.0,2.0,2.0,2,0,0,2
574,2815,6.0,621.0,1.0,1.0,2,3,0,3
433,3995,9.0,860.0,2.0,1.0,2,3,0,0
4,2800,6.0,700.0,2.0,1.0,1,0,0,3
414,2790,8.0,548.0,2.0,1.0,1,0,0,0
1779,2594,7.0,850.0,1.0,1.0,1,1,0,3
2007,2050,1.0,500.0,0.0,1.0,0,0,0,0
1103,1600,6.0,289.0,0.0,1.0,0,0,0,0
1272,5000,5.0,1600.0,3.0,2.0,2,0,0,0
