date,title,link,price,brs,sqft,hood,bath,amenities
Oct  1,FREE RENT - TOP FLOOR VIEW - Historic Bldg - Right on the Park!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-free-rent-top-floor-view/7206533663.html,2695,,618.0,alamo square / nopa,1Ba,"['cats are OK - purrr', 'apartment', 'laundry in bldg', 'no smoking', 'attached garage']"
Oct  1,"HAYES VALLEY!VIEW CONDO! 2BR 2BA,PARKING,LAUNDRY! DAWN CUSULOS",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-hayes-valleyview-condo/7206501636.html,4000,2,,hayes valley,2Ba,"['application fee details: 30.00', 'condo', 'w/d in unit', 'no smoking', 'attached garage']"
Oct  1,"Stunning Dolores Park Penthouse - Views, 3 Car Parking ~ J.Wavro",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-stunning-dolores-park/7206532870.html,12500,3,,Mission Dolores,3Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'condo', 'w/d in unit', 'attached garage']"
Oct  1,Bridge and Garden Views,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bridge-and-garden-views/7206525719.html,3190,2,840.0,russian hill,1Ba,"['application fee details: $25 Credit check, processing', 'cats are OK - purrr', 'apartment', 'laundry in bldg', 'no smoking', 'street parking']"
Oct  1,Enormous Corner Unit in Best Bldg. & Right on the Park!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-enormous-corner-unit-in/7206532617.html,3195,1,897.0,alamo square / nopa,1Ba,"['cats are OK - purrr', 'apartment', 'laundry in bldg', 'no smoking', 'attached garage']"
Oct  1,"Spending more time at home? Large, affordable apartments on 152 acres",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spending-more-time-at/7206532485.html,2860,2,1093.0,ingleside / SFSU / CCSF,2Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'no smoking']"
Oct  1,"BREATHTAKING, MUST SEE, TOP FLOOR MARINA ONE BEDROOM!!!",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-breathtaking-must-see-top/7206532125.html,3350,1,,marina / cow hollow,1Ba,"['apartment', 'no laundry on site', 'no smoking', 'attached garage']"
Oct  1,2 BR 1 Bath Light Filled Edwardian Lower Haight/Hayes,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-br-1-bath-light-filled/7202559724.html,3500,2,,lower haight,1Ba,"['cats are OK - purrr', 'apartment', 'laundry in bldg', 'no smoking']"
Oct  1,Light and Airy Lower Haight/Hayes Valley 2 Bedroom 1 Bath Victorian,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-light-and-airy-lower/7202559787.html,3450,2,,lower haight,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'no laundry on site', 'street parking']"
Oct  1,- Lumina  Luxury  one bed  Amazing view,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-lumina-luxury-one-bed/7191237927.html,3800,1,950.0,SOMA / south beach,1Ba,"['condo', 'w/d in unit', 'no smoking', 'valet parking']"
Oct  1,2 BR 1.5Bath Condo w/ parking and laundry,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-br-15bath-condo-parking/7206531884.html,3950,2,,twin peaks / diamond hts,1.5Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'condo', 'laundry in bldg', 'attached garage']"
Oct  1,2 BR 1 Bath Light Filled Edwardian Lower Haight/Hayes,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-br-1-bath-light-filled/7202559871.html,3950,2,,lower haight,1Ba,"['cats are OK - purrr', 'apartment', 'laundry in bldg', 'no smoking']"
