price,hood_district,sqft,beds,bath,laundry,pets,housing_type,parking
2490,9.0,460.0,0.0,1.0,1,3,0,3
4790,7.0,9450.0,2.0,1.0,2,0,0,1
3690,9.0,1044.0,2.0,2.0,2,3,0,3
3990,9.0,736.0,1.0,1.0,2,3,0,3
2450,9.0,530.0,1.0,1.0,2,0,0,3
1300,10.0,250.0,0.0,1.0,0,0,0,0
5200,8.0,1440.0,3.0,2.0,0,0,0,3
1400,10.0,350.0,0.0,1.0,2,0,0,1
1400,10.0,300.0,0.0,1.0,2,0,0,1
1400,10.0,320.0,0.0,1.0,1,0,0,0
4595,8.0,1100.0,3.0,1.0,1,0,0,0
